Name,Country,Profession,Quotes,
A. A. Milne, English , Author ,"Weeds are flowers too, once you get to know them.",
A. A. Milne, English , Author ,"Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.",
A. A. Milne, English , Author ,You can't stay in your corner of the forest waiting for others to come to you. You have to go to them sometimes.,
A. A. Milne, English , Author ,"Organizing is what you do before you do something, so that when you do it, it is not all mixed up.",
A. A. Milne, English , Author ,The third-rate mind is only happy when it is thinking with the majority. The second-rate mind is only happy when it is thinking with the minority. The first-rate mind is only happy when it is thinking.,
A. A. Milne, English , Author ,Golf is so popular simply because it is the best game in the world at which to be bad.,
A. A. Milne, English , Author ,"What I say is that, if a fellow really likes potatoes, he must be a pretty decent sort of fellow.",
A. A. Milne, English , Author ,"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",
A. A. Milne, English , Author ,"My spelling is Wobbly. It's good spelling but it Wobbles, and the letters get in the wrong places.",
A. A. Milne, English , Author ,"Bores can be divided into two classes; those who have their own particular subject, and those who do not need a subject.",
A. A. Milne, English , Author ,"I suppose that every one of us hopes secretly for immortality; to leave, I mean, a name behind him which will live forever in this world, whatever he may be doing, himself, in the next.",
A. A. Milne, English , Author ,"War is something of man's own fostering, and if all mankind renounces it, then it is no longer there.",
A. A. Milne, English , Author ,"To the uneducated, an A is just three sticks.",
A. A. Milne, English , Author ,"Did you ever stop to think, and forget to start again?",
A. A. Milne, English , Author ,"It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words, like 'What about lunch?'",
A. A. Milne, English , Author ,"The Old Testament is responsible for more atheism, agnosticism, disbelief - call it what you will - than any book ever written. It has emptied more churches than all the counter-attractions of cinema, motor-bicycle and golf course.",
A. A. Milne, English , Author ,"Don't underestimate the value of doing nothing, of just going along, listening to all the thing you can't hear, and not bothering.",
A. A. Milne, English , Author ,No sensible author wants anything but praise.,
A. A. Milne, English , Author ,"Is 'The Wind in the Willows' a children's book? Is 'Alice in Wonderland?' Is 'Treasure Island?' These are masterpieces which we read with pleasure as children, but with how much more pleasure when we are grown-up.",
A. A. Milne, English , Author ,One of the advantages of being disorderly is that one is constantly making exciting discoveries.,
A. A. Milne, English , Author ,You will be better advised to watch what we do instead of what we say.,
A. A. Milne, English , Author ,Some people care too much. I think it's called love.,
A. A. Milne, English , Author ,"Never forget me, because if I thought you would, I'd never leave.",
A. A. Milne, English , Author ,I gave up writing children's books. I wanted to escape from them as I had once wanted to escape from 'Punch': as I have always wanted to escape. In vain.,
A. A. Milne, English , Author ,A writer wants something more than money for his work: he wants permanence.,
A. A. Milne, English , Author ,"If one is to be called a liar, one may as well make an effort to deserve the name.",
A. P. J. Abdul Kalam, Indian , Statesman ,Let us sacrifice our today so that our children can have a better tomorrow.,
A. P. J. Abdul Kalam, Indian , Statesman ,"Never stop fighting until you arrive at your destined place - that is, the unique you. Have an aim in life, continuously acquire knowledge, work hard, and have perseverance to realise the great life.",
A. P. J. Abdul Kalam, Indian , Statesman ,"Teaching is a very noble profession that shapes the character, caliber, and future of an individual. If the people remember me as a good teacher, that will be the biggest honour for me.",
A. P. J. Abdul Kalam, Indian , Statesman ,"If you want to shine like a sun, first burn like a sun.",
A. P. J. Abdul Kalam, Indian , Statesman ,The bird is powered by its own life and by its motivation.,
A. P. J. Abdul Kalam, Indian , Statesman ,"To succeed in your mission, you must have single-minded devotion to your goal.",
A. P. J. Abdul Kalam, Indian , Statesman ,Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,
A. P. J. Abdul Kalam, Indian , Statesman ,We should not give up and we should not allow the problem to defeat us.,
A. P. J. Abdul Kalam, Indian , Statesman ,"To become 'unique,' the challenge is to fight the hardest battle which anyone can imagine until you reach your destination.",
A. P. J. Abdul Kalam, Indian , Statesman ,Poetry comes from the highest happiness or the deepest sorrow.,
A. P. J. Abdul Kalam, Indian , Statesman ,"If four things are followed - having a great aim, acquiring knowledge, hard work, and perseverance - then anything can be achieved.",
A. P. J. Abdul Kalam, Indian , Statesman ,You have to dream before your dreams can come true.,
A. P. J. Abdul Kalam, Indian , Statesman ,Excellence is a continuous process and not an accident.,
A. P. J. Abdul Kalam, Indian , Statesman ,"You see, God helps only people who work hard. That principle is very clear.",
A. P. J. Abdul Kalam, Indian , Statesman ,"If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.",
A. P. J. Abdul Kalam, Indian , Statesman ,Man needs his difficulties because they are necessary to enjoy success.,
A. P. J. Abdul Kalam, Indian , Statesman ,"If we are not free, no one will respect us.",
A. P. J. Abdul Kalam, Indian , Statesman ,"My message, especially to young people is to have courage to think differently, courage to invent, to travel the unexplored path, courage to discover the impossible and to conquer the problems and succeed. These are great qualities that they must work towards. This is my message to the young people.",
A. P. J. Abdul Kalam, Indian , Statesman ,"When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives.",
A. P. J. Abdul Kalam, Indian , Statesman ,"Let me define a leader. He must have vision and passion and not be afraid of any problem. Instead, he should know how to defeat it. Most importantly, he must work with integrity.",
A. P. J. Abdul Kalam, Indian , Statesman ,Life is a difficult game. You can win it only by retaining your birthright to be a person.,
